frame_number,track_id,cx,cy,event
5,0,319,483,NEW
6,0,286,472,UPDATE
7,0,266,468,UPDATE
8,0,250,465,UPDATE
9,0,242,465,UPDATE
10,0,237,465,UPDATE
11,0,228,464,UPDATE
12,0,222,465,UPDATE
13,0,205,463,UPDATE
14,0,195,462,UPDATE
15,0,185,463,UPDATE
16,0,173,461,UPDATE
16,1,352,463,NEW
17,0,146,459,UPDATE
17,1,343,471,UPDATE
18,0,127,457,UPDATE
18,1,341,475,UPDATE
19,0,113,448,UPDATE
19,1,341,477,UPDATE
20,0,100,438,UPDATE
20,1,340,478,UPDATE
21,0,86,428,UPDATE
21,1,341,479,UPDATE
22,0,73,417,UPDATE
22,1,344,479,UPDATE
23,0,59,406,UPDATE
23,1,346,479,UPDATE
24,0,46,393,UPDATE
24,1,348,480,UPDATE
25,0,32,380,UPDATE
25,1,356,480,UPDATE
26,0,19,365,UPDATE
26,1,362,481,UPDATE
27,0,5,348,UPDATE
27,1,367,481,UPDATE
28,0,-7,328,UPDATE
28,1,370,482,UPDATE
29,0,-21,301,UPDATE
29,1,381,482,UPDATE
30,0,-34,301,UPDATE
30,1,389,482,UPDATE
31,0,-48,301,UPDATE
31,1,406,480,UPDATE
32,0,-61,301,UPDATE
32,1,418,479,UPDATE
33,0,-75,301,UPDATE
33,1,427,480,UPDATE
34,1,450,480,UPDATE
35,1,461,480,UPDATE
36,1,465,481,UPDATE
37,1,476,479,UPDATE
38,1,481,478,UPDATE
39,1,483,479,UPDATE
40,1,498,473,UPDATE
41,1,505,473,UPDATE
42,1,518,474,UPDATE
43,1,528,475,UPDATE
44,1,538,476,UPDATE
45,1,544,476,UPDATE
46,1,566,468,UPDATE
47,1,577,460,UPDATE
48,1,586,457,UPDATE
49,1,593,457,UPDATE
50,1,602,455,UPDATE
51,1,612,452,UPDATE
52,1,621,449,UPDATE
53,1,630,447,UPDATE
54,1,640,444,UPDATE
55,1,649,441,UPDATE
56,1,658,438,UPDATE
57,1,668,436,UPDATE
58,1,677,433,UPDATE
59,1,687,430,UPDATE
60,1,696,427,UPDATE
61,1,705,424,UPDATE
62,1,715,422,UPDATE
63,1,724,419,UPDATE
64,1,733,416,UPDATE
92,2,107,510,NEW
93,2,114,509,UPDATE
94,2,127,508,UPDATE
94,3,533,495,NEW
95,2,131,506,UPDATE
95,3,522,498,UPDATE
96,2,134,505,UPDATE
96,3,517,499,UPDATE
97,2,139,509,UPDATE
97,3,509,503,UPDATE
98,2,141,508,UPDATE
98,3,506,502,UPDATE
99,2,156,507,UPDATE
99,3,497,500,UPDATE
100,2,166,503,UPDATE
100,3,491,496,UPDATE
101,2,173,499,UPDATE
101,3,486,491,UPDATE
102,2,178,496,UPDATE
102,3,482,487,UPDATE
103,2,191,495,UPDATE
103,3,474,485,UPDATE
104,2,197,493,UPDATE
104,3,469,482,UPDATE
105,2,206,494,UPDATE
105,3,454,483,UPDATE
106,2,211,492,UPDATE
106,3,447,482,UPDATE
107,2,215,490,UPDATE
107,3,442,481,UPDATE
108,2,222,488,UPDATE
108,3,429,480,UPDATE
109,2,225,485,UPDATE
109,3,422,478,UPDATE
110,2,227,483,UPDATE
110,3,417,477,UPDATE
111,2,228,483,UPDATE
111,3,404,476,UPDATE
112,2,229,482,UPDATE
112,3,398,476,UPDATE
113,2,229,481,UPDATE
113,3,393,476,UPDATE
114,2,230,482,UPDATE
114,3,385,477,UPDATE
115,2,229,480,UPDATE
115,3,381,477,UPDATE
116,2,228,478,UPDATE
116,3,380,476,UPDATE
117,2,226,477,UPDATE
117,3,378,476,UPDATE
118,2,225,476,UPDATE
118,3,377,475,UPDATE
119,2,224,475,UPDATE
119,3,377,474,UPDATE
120,2,224,476,UPDATE
120,3,377,473,UPDATE
121,2,225,475,UPDATE
121,3,377,472,UPDATE
122,2,226,475,UPDATE
122,3,377,471,UPDATE
123,2,228,475,UPDATE
123,3,376,472,UPDATE
124,2,230,475,UPDATE
124,3,374,472,UPDATE
125,2,234,473,UPDATE
125,3,369,472,UPDATE
126,2,237,472,UPDATE
126,3,366,471,UPDATE
127,2,238,472,UPDATE
127,3,363,470,UPDATE
128,2,239,471,UPDATE
128,3,360,470,UPDATE
129,2,239,472,UPDATE
129,3,354,470,UPDATE
130,2,241,472,UPDATE
130,3,351,470,UPDATE
131,2,240,472,UPDATE
131,3,345,471,UPDATE
132,2,237,472,UPDATE
132,3,343,472,UPDATE
133,2,238,471,UPDATE
133,3,343,472,UPDATE
134,2,236,471,UPDATE
134,3,343,473,UPDATE
135,2,235,470,UPDATE
135,3,343,472,UPDATE
136,2,235,470,UPDATE
136,3,344,471,UPDATE
137,2,235,470,UPDATE
137,3,344,471,UPDATE
138,2,235,471,UPDATE
138,3,344,470,UPDATE
139,2,235,470,UPDATE
139,3,343,469,UPDATE
140,2,237,470,UPDATE
140,3,342,469,UPDATE
141,2,237,470,UPDATE
141,3,340,469,UPDATE
142,2,238,469,UPDATE
142,3,339,469,UPDATE
143,2,238,469,UPDATE
143,3,334,469,UPDATE
