frame_number,track_id,cx,cy,event
4,0,295,351,NEW
4,1,194,346,NEW
4,2,238,347,NEW
4,3,345,351,NEW
5,0,294,351,UPDATE
5,1,194,348,UPDATE
5,2,237,347,UPDATE
5,3,346,351,UPDATE
6,0,295,351,UPDATE
6,1,194,349,UPDATE
6,2,236,347,UPDATE
6,3,346,351,UPDATE
7,0,295,351,UPDATE
7,1,194,349,UPDATE
7,2,235,348,UPDATE
7,3,345,351,UPDATE
8,0,294,350,UPDATE
8,1,194,350,UPDATE
8,2,234,349,UPDATE
8,3,347,351,UPDATE
9,0,295,350,UPDATE
9,1,194,350,UPDATE
9,2,234,349,UPDATE
9,3,345,351,UPDATE
10,0,295,350,UPDATE
10,1,193,350,UPDATE
10,2,234,349,UPDATE
10,3,344,351,UPDATE
11,0,295,350,UPDATE
11,1,193,350,UPDATE
11,2,234,350,UPDATE
11,3,344,351,UPDATE
12,0,294,350,UPDATE
12,1,192,350,UPDATE
12,2,234,350,UPDATE
12,3,345,352,UPDATE
13,0,295,350,UPDATE
13,1,192,350,UPDATE
13,2,234,349,UPDATE
13,3,346,352,UPDATE
14,0,295,350,UPDATE
14,1,192,350,UPDATE
14,2,234,349,UPDATE
14,3,346,352,UPDATE
15,0,295,351,UPDATE
15,1,192,350,UPDATE
15,2,234,349,UPDATE
15,3,345,352,UPDATE
16,0,295,350,UPDATE
16,1,192,350,UPDATE
16,2,234,349,UPDATE
16,3,345,352,UPDATE
17,0,295,350,UPDATE
17,1,192,350,UPDATE
17,2,234,349,UPDATE
17,3,345,352,UPDATE
18,0,296,350,UPDATE
18,1,192,350,UPDATE
18,2,234,348,UPDATE
18,3,345,352,UPDATE
19,0,295,350,UPDATE
19,1,192,350,UPDATE
19,2,234,350,UPDATE
19,3,345,352,UPDATE
20,0,295,350,UPDATE
20,1,192,350,UPDATE
20,2,234,349,UPDATE
20,3,344,352,UPDATE
21,0,295,350,UPDATE
21,1,192,350,UPDATE
21,2,234,349,UPDATE
21,3,344,351,UPDATE
22,0,294,350,UPDATE
22,1,192,350,UPDATE
22,2,234,349,UPDATE
22,3,344,351,UPDATE
23,0,293,349,UPDATE
23,1,192,350,UPDATE
23,2,234,349,UPDATE
23,3,343,351,UPDATE
24,0,292,349,UPDATE
24,1,192,350,UPDATE
24,2,233,349,UPDATE
24,3,344,352,UPDATE
25,0,292,349,UPDATE
25,1,192,350,UPDATE
25,2,234,349,UPDATE
25,3,344,352,UPDATE
26,0,292,350,UPDATE
26,1,191,351,UPDATE
26,2,234,349,UPDATE
26,3,344,352,UPDATE
27,0,291,350,UPDATE
27,1,191,351,UPDATE
27,2,235,349,UPDATE
27,3,344,352,UPDATE
28,0,292,350,UPDATE
28,1,191,351,UPDATE
28,2,235,349,UPDATE
28,3,344,353,UPDATE
29,0,291,350,UPDATE
29,1,189,351,UPDATE
29,2,235,349,UPDATE
29,3,345,353,UPDATE
30,0,291,350,UPDATE
30,1,188,351,UPDATE
30,2,234,348,UPDATE
30,3,346,353,UPDATE
31,0,290,349,UPDATE
31,1,188,351,UPDATE
31,2,234,348,UPDATE
31,3,346,353,UPDATE
32,0,290,350,UPDATE
32,1,188,354,UPDATE
32,2,233,349,UPDATE
32,3,348,353,UPDATE
33,0,290,350,UPDATE
33,1,187,355,UPDATE
33,2,233,349,UPDATE
33,3,348,353,UPDATE
34,0,290,350,UPDATE
34,1,188,356,UPDATE
34,2,232,349,UPDATE
34,3,348,353,UPDATE
35,0,290,350,UPDATE
35,1,187,357,UPDATE
35,2,232,349,UPDATE
35,3,349,353,UPDATE
36,0,290,350,UPDATE
36,1,186,357,UPDATE
36,2,232,349,UPDATE
36,3,349,353,UPDATE
37,0,290,349,UPDATE
37,1,186,358,UPDATE
37,2,232,349,UPDATE
37,3,349,352,UPDATE
38,0,289,349,UPDATE
38,1,186,358,UPDATE
38,2,233,349,UPDATE
38,3,349,353,UPDATE
39,0,287,349,UPDATE
39,1,185,358,UPDATE
39,2,233,349,UPDATE
39,3,348,353,UPDATE
40,0,287,350,UPDATE
40,1,185,359,UPDATE
40,2,233,351,UPDATE
