frame_number,track_id,cx,cy,event
52,0,429,238,NEW
53,0,434,239,UPDATE
54,0,413,239,UPDATE
55,0,409,239,UPDATE
56,0,407,239,UPDATE
57,0,406,239,UPDATE
57,1,63,238,NEW
58,0,403,239,UPDATE
58,1,66,238,UPDATE
59,0,401,239,UPDATE
59,1,69,238,UPDATE
60,0,392,239,UPDATE
60,1,76,238,UPDATE
61,0,387,239,UPDATE
61,1,80,238,UPDATE
62,0,385,239,UPDATE
62,1,82,238,UPDATE
63,0,372,239,UPDATE
63,1,89,238,UPDATE
64,0,366,239,UPDATE
64,1,93,237,UPDATE
65,0,362,239,UPDATE
65,1,96,238,UPDATE
66,0,357,245,UPDATE
66,1,101,238,UPDATE
66,COUNT,,,IN increment to 1
67,0,354,243,UPDATE
67,1,104,239,UPDATE
68,0,354,246,UPDATE
68,1,106,239,UPDATE
69,0,355,260,UPDATE
69,1,114,247,UPDATE
69,COUNT,,,IN increment to 2
70,0,357,266,UPDATE
70,1,118,252,UPDATE
71,0,361,270,UPDATE
71,1,124,255,UPDATE
72,0,368,275,UPDATE
72,1,140,259,UPDATE
73,0,371,276,UPDATE
73,1,149,261,UPDATE
74,0,372,278,UPDATE
74,1,156,263,UPDATE
75,0,373,280,UPDATE
75,1,169,268,UPDATE
76,0,372,281,UPDATE
76,1,174,272,UPDATE
77,0,372,283,UPDATE
77,1,176,274,UPDATE
78,0,369,287,UPDATE
78,1,183,280,UPDATE
79,0,367,288,UPDATE
79,1,187,284,UPDATE
80,0,362,291,UPDATE
80,1,194,289,UPDATE
81,0,359,291,UPDATE
81,1,199,292,UPDATE
82,0,354,294,UPDATE
82,1,205,296,UPDATE
83,0,352,294,UPDATE
83,1,208,297,UPDATE
84,0,352,294,UPDATE
84,1,209,298,UPDATE
85,0,351,295,UPDATE
85,1,210,300,UPDATE
86,0,349,298,UPDATE
86,1,218,304,UPDATE
87,0,349,300,UPDATE
87,1,224,306,UPDATE
88,0,351,302,UPDATE
88,1,236,311,UPDATE
89,0,354,304,UPDATE
89,1,242,313,UPDATE
90,0,358,303,UPDATE
90,1,250,315,UPDATE
91,0,360,299,UPDATE
91,1,253,316,UPDATE
92,0,361,298,UPDATE
92,1,254,317,UPDATE
93,0,362,296,UPDATE
93,1,253,319,UPDATE
94,0,363,296,UPDATE
94,1,251,320,UPDATE
95,0,363,296,UPDATE
95,1,250,321,UPDATE
96,0,363,298,UPDATE
96,1,247,324,UPDATE
97,0,363,300,UPDATE
97,1,246,326,UPDATE
98,0,364,301,UPDATE
98,1,245,327,UPDATE
99,0,361,303,UPDATE
99,1,244,328,UPDATE
100,0,360,303,UPDATE
100,1,243,329,UPDATE
101,0,360,303,UPDATE
101,1,242,329,UPDATE
102,0,359,300,UPDATE
102,1,243,327,UPDATE
103,0,359,298,UPDATE
103,1,243,324,UPDATE
104,0,358,298,UPDATE
104,1,245,330,UPDATE
105,0,358,299,UPDATE
105,1,246,333,UPDATE
106,0,357,300,UPDATE
106,1,247,334,UPDATE
107,0,357,299,UPDATE
107,1,249,335,UPDATE
108,0,359,301,UPDATE
108,1,251,334,UPDATE
109,0,361,302,UPDATE
109,1,252,333,UPDATE
110,0,362,303,UPDATE
110,1,253,331,UPDATE
111,0,364,303,UPDATE
111,1,256,329,UPDATE
112,0,364,302,UPDATE
112,1,257,328,UPDATE
113,0,364,302,UPDATE
113,1,258,328,UPDATE
114,0,363,300,UPDATE
114,1,260,328,UPDATE
115,0,363,300,UPDATE
115,1,262,329,UPDATE
116,0,363,300,UPDATE
116,1,263,329,UPDATE
117,0,362,301,UPDATE
117,1,263,331,UPDATE
118,0,362,302,UPDATE
118,1,264,331,UPDATE
119,0,361,302,UPDATE
119,1,264,331,UPDATE
120,0,357,303,UPDATE
120,1,264,329,UPDATE
121,0,354,302,UPDATE
121,1,264,329,UPDATE
122,0,352,301,UPDATE
122,1,266,326,UPDATE
123,0,351,301,UPDATE
123,1,267,325,UPDATE
124,0,351,301,UPDATE
124,1,267,326,UPDATE
125,0,348,301,UPDATE
125,1,271,328,UPDATE
126,0,348,301,UPDATE
126,1,273,329,UPDATE
127,0,346,318,UPDATE
127,1,274,329,UPDATE
128,0,346,320,UPDATE
128,1,276,329,UPDATE
129,0,345,321,UPDATE
129,1,280,327,UPDATE
130,0,344,323,UPDATE
130,1,283,324,UPDATE
130,2,349,305,NEW
131,0,343,324,UPDATE
131,1,285,324,UPDATE
131,2,351,304,UPDATE
132,0,342,326,UPDATE
132,1,287,323,UPDATE
132,2,353,303,UPDATE
133,0,341,327,UPDATE
133,1,288,323,UPDATE
133,2,354,303,UPDATE
134,0,340,329,UPDATE
134,1,288,324,UPDATE
134,2,354,302,UPDATE
135,0,339,331,UPDATE
135,1,288,325,UPDATE
135,2,353,303,UPDATE
136,0,338,332,UPDATE
136,1,288,326,UPDATE
136,2,353,303,UPDATE
137,0,337,334,UPDATE
137,1,288,326,UPDATE
137,2,352,304,UPDATE
138,0,336,335,UPDATE
138,1,287,327,UPDATE
138,2,352,304,UPDATE
139,0,336,337,UPDATE
139,1,287,327,UPDATE
139,2,352,304,UPDATE
140,0,335,338,UPDATE
140,1,286,325,UPDATE
140,2,349,303,UPDATE
141,0,334,340,UPDATE
141,1,285,324,UPDATE
141,2,347,304,UPDATE
142,0,333,342,UPDATE
142,1,285,323,UPDATE
142,2,347,304,UPDATE
143,1,285,323,UPDATE
143,2,347,306,UPDATE
144,1,285,322,UPDATE
144,2,346,304,UPDATE
145,1,287,324,UPDATE
145,2,346,303,UPDATE
146,1,288,325,UPDATE
146,2,347,303,UPDATE
147,1,290,325,UPDATE
147,2,348,304,UPDATE
148,1,291,326,UPDATE
148,2,349,304,UPDATE
149,1,293,326,UPDATE
149,2,349,304,UPDATE
150,1,294,326,UPDATE
150,2,351,305,UPDATE
151,1,296,324,UPDATE
151,2,354,305,UPDATE
152,1,298,323,UPDATE
152,2,354,304,UPDATE
153,1,299,323,UPDATE
153,2,356,304,UPDATE
154,1,300,323,UPDATE
154,2,357,305,UPDATE
155,1,300,322,UPDATE
155,2,357,305,UPDATE
156,1,300,321,UPDATE
156,2,358,305,UPDATE
157,1,299,323,UPDATE
157,2,359,308,UPDATE
158,1,300,324,UPDATE
158,2,359,307,UPDATE
159,1,300,324,UPDATE
159,2,359,306,UPDATE
160,1,300,324,UPDATE
160,2,359,306,UPDATE
161,1,301,324,UPDATE
161,2,359,308,UPDATE
162,1,301,323,UPDATE
162,2,358,308,UPDATE
163,1,302,322,UPDATE
163,2,358,306,UPDATE
164,1,303,322,UPDATE
164,2,356,307,UPDATE
165,1,304,322,UPDATE
165,2,355,307,UPDATE
166,1,305,321,UPDATE
166,2,356,307,UPDATE
167,1,307,321,UPDATE
167,2,355,308,UPDATE
168,1,308,322,UPDATE
168,2,356,308,UPDATE
169,1,311,323,UPDATE
169,2,356,308,UPDATE
170,1,313,324,UPDATE
170,2,355,308,UPDATE
171,1,315,324,UPDATE
171,2,355,310,UPDATE
172,1,315,324,UPDATE
172,2,355,310,UPDATE
173,1,317,323,UPDATE
173,2,355,309,UPDATE
174,1,319,323,UPDATE
174,2,354,308,UPDATE
175,1,322,322,UPDATE
175,2,354,308,UPDATE
176,1,322,322,UPDATE
176,2,356,318,UPDATE
177,1,323,322,UPDATE
177,2,356,320,UPDATE
178,1,322,323,UPDATE
178,2,356,320,UPDATE
179,1,322,324,UPDATE
179,2,355,320,UPDATE
180,1,322,324,UPDATE
180,2,353,316,UPDATE
181,1,321,324,UPDATE
181,2,353,312,UPDATE
182,1,321,324,UPDATE
182,2,353,312,UPDATE
183,1,321,324,UPDATE
183,2,353,312,UPDATE
184,1,320,323,UPDATE
184,2,352,309,UPDATE
185,1,320,323,UPDATE
185,2,351,310,UPDATE
186,1,318,323,UPDATE
186,2,353,309,UPDATE
187,1,319,322,UPDATE
187,2,354,309,UPDATE
188,1,319,322,UPDATE
188,2,354,308,UPDATE
189,1,320,322,UPDATE
189,2,354,309,UPDATE
190,1,320,322,UPDATE
190,2,355,308,UPDATE
191,1,317,322,UPDATE
191,2,355,308,UPDATE
192,1,315,323,UPDATE
192,2,355,308,UPDATE
193,1,314,322,UPDATE
193,2,354,309,UPDATE
194,1,313,323,UPDATE
194,2,353,308,UPDATE
195,1,312,323,UPDATE
195,2,353,308,UPDATE
196,1,309,323,UPDATE
196,2,351,309,UPDATE
197,1,309,324,UPDATE
197,2,350,310,UPDATE
198,1,308,323,UPDATE
198,2,349,309,UPDATE
199,1,307,323,UPDATE
199,2,346,310,UPDATE
200,1,304,323,UPDATE
200,2,344,310,UPDATE
201,1,305,324,UPDATE
201,2,342,310,UPDATE
202,1,303,323,UPDATE
202,2,342,308,UPDATE
203,1,303,323,UPDATE
203,2,342,308,UPDATE
204,1,301,323,UPDATE
204,2,341,307,UPDATE
205,1,303,323,UPDATE
205,2,341,307,UPDATE
206,1,302,323,UPDATE
206,2,340,307,UPDATE
207,1,303,323,UPDATE
207,2,340,307,UPDATE
208,1,301,324,UPDATE
208,2,340,308,UPDATE
209,1,302,324,UPDATE
209,2,341,308,UPDATE
210,1,301,324,UPDATE
210,2,342,307,UPDATE
211,1,303,323,UPDATE
211,2,344,304,UPDATE
212,1,303,323,UPDATE
212,2,345,304,UPDATE
213,1,303,323,UPDATE
213,2,345,303,UPDATE
214,1,302,323,UPDATE
214,2,346,304,UPDATE
215,1,301,323,UPDATE
215,2,347,305,UPDATE
216,1,301,323,UPDATE
216,2,346,306,UPDATE
217,1,300,324,UPDATE
217,2,346,306,UPDATE
218,1,299,324,UPDATE
218,2,346,305,UPDATE
219,1,299,324,UPDATE
219,2,346,306,UPDATE
220,1,298,325,UPDATE
220,2,345,305,UPDATE
221,1,298,326,UPDATE
221,2,341,309,UPDATE
222,1,298,325,UPDATE
222,2,342,306,UPDATE
223,1,298,324,UPDATE
223,2,341,305,UPDATE
224,1,297,323,UPDATE
224,2,340,304,UPDATE
225,1,297,323,UPDATE
225,2,340,303,UPDATE
226,1,297,323,UPDATE
226,2,340,303,UPDATE
227,1,296,323,UPDATE
227,2,341,303,UPDATE
