frame_number,track_id,cy,event
132,0,418,UPDATE
132,2,321,UPDATE
132,3,455,UPDATE
133,0,417,UPDATE
133,2,315,UPDATE
133,3,453,UPDATE
134,0,416,UPDATE
134,2,309,UPDATE
134,3,450,UPDATE
135,0,415,UPDATE
135,2,303,UPDATE
135,3,447,UPDATE
136,0,415,UPDATE
136,2,296,UPDATE
136,3,446,UPDATE
137,0,415,UPDATE
137,2,288,UPDATE
137,3,444,UPDATE
138,0,415,UPDATE
138,2,279,UPDATE
138,3,444,UPDATE
138,4,445,NEW
139,0,413,UPDATE
139,2,266,UPDATE
139,3,440,UPDATE
139,4,441,UPDATE
140,0,409,UPDATE
140,2,264,UPDATE
140,3,441,UPDATE
140,4,437,UPDATE
141,0,407,UPDATE
141,2,261,UPDATE
141,3,441,UPDATE
141,4,433,UPDATE
142,0,406,UPDATE
142,2,259,UPDATE
142,3,440,UPDATE
142,4,429,UPDATE
143,0,406,UPDATE
143,2,257,UPDATE
143,3,438,UPDATE
143,4,425,UPDATE
144,0,407,UPDATE
144,3,437,UPDATE
144,4,421,UPDATE
145,0,405,UPDATE
145,3,427,UPDATE
145,4,417,UPDATE
146,0,404,UPDATE
146,3,423,UPDATE
146,4,413,UPDATE
147,0,403,UPDATE
147,3,421,UPDATE
147,4,408,UPDATE
148,0,403,UPDATE
148,3,431,UPDATE
148,4,404,UPDATE
148,5,394,NEW
149,0,402,UPDATE
149,3,438,UPDATE
149,4,400,UPDATE
149,5,395,UPDATE
150,0,399,UPDATE
150,3,451,UPDATE
150,4,395,UPDATE
150,5,394,UPDATE
151,0,398,UPDATE
151,3,424,UPDATE
151,4,390,UPDATE
151,5,394,UPDATE
152,0,397,UPDATE
152,3,407,UPDATE
152,4,385,UPDATE
152,5,393,UPDATE
153,0,395,UPDATE
153,3,435,UPDATE
153,4,380,UPDATE
153,5,392,UPDATE
154,0,395,UPDATE
154,3,449,UPDATE
154,5,393,UPDATE
155,0,394,UPDATE
155,3,455,UPDATE
155,5,392,UPDATE
156,0,394,UPDATE
156,3,456,UPDATE
156,5,392,UPDATE
157,0,393,UPDATE
157,3,458,UPDATE
