frame_number,track_id,cy,event
72,8,477,NEW
73,8,476,UPDATE
74,8,480,UPDATE
75,8,482,UPDATE
76,8,480,UPDATE
77,8,478,UPDATE
78,8,478,UPDATE
79,8,482,UPDATE
80,8,483,UPDATE
81,8,484,UPDATE
82,8,484,UPDATE
83,8,482,UPDATE
84,8,480,UPDATE
85,8,480,UPDATE
86,8,480,UPDATE
87,8,479,UPDATE
88,8,479,UPDATE
89,8,479,UPDATE
90,8,467,UPDATE
91,8,461,UPDATE
92,8,458,UPDATE
93,8,457,UPDATE
94,8,451,UPDATE
95,8,444,UPDATE
96,8,439,UPDATE
97,8,426,UPDATE
98,8,418,UPDATE
99,8,415,UPDATE
100,8,413,UPDATE
101,8,408,UPDATE
102,8,400,UPDATE
103,8,387,UPDATE
104,8,381,UPDATE
105,8,379,UPDATE
106,8,376,UPDATE
107,8,373,UPDATE
108,8,366,UPDATE
109,8,361,UPDATE
110,8,356,UPDATE
110,9,499,NEW
111,8,353,UPDATE
111,9,498,UPDATE
112,8,352,UPDATE
112,9,495,UPDATE
113,8,347,UPDATE
113,9,494,UPDATE
114,8,343,UPDATE
114,9,493,UPDATE
115,8,338,UPDATE
115,9,490,UPDATE
116,8,333,UPDATE
116,9,486,UPDATE
117,8,328,UPDATE
117,9,484,UPDATE
118,8,324,UPDATE
118,9,482,UPDATE
119,8,319,UPDATE
119,9,481,UPDATE
120,8,314,UPDATE
120,9,480,UPDATE
121,8,309,UPDATE
121,9,480,UPDATE
122,8,303,UPDATE
122,9,480,UPDATE
123,8,298,UPDATE
123,9,476,UPDATE
124,8,292,UPDATE
124,9,461,UPDATE
125,8,287,UPDATE
125,9,453,UPDATE
126,8,294,UPDATE
126,9,447,UPDATE
127,8,294,UPDATE
127,9,443,UPDATE
128,8,292,UPDATE
128,9,433,UPDATE
129,8,289,UPDATE
129,9,424,UPDATE
130,8,287,UPDATE
130,9,408,UPDATE
131,8,282,UPDATE
131,9,398,UPDATE
132,8,279,UPDATE
132,9,393,UPDATE
133,8,278,UPDATE
133,9,389,UPDATE
134,8,275,UPDATE
134,9,384,UPDATE
135,8,275,UPDATE
135,9,371,UPDATE
136,8,275,UPDATE
136,9,362,UPDATE
137,8,271,UPDATE
137,9,356,UPDATE
138,8,269,UPDATE
138,9,353,UPDATE
139,8,267,UPDATE
139,9,349,UPDATE
140,8,264,UPDATE
140,9,341,UPDATE
141,8,264,UPDATE
