frame_number,track_id,cy,event
38,0,489,NEW
39,0,491,UPDATE
40,0,491,UPDATE
41,0,484,UPDATE
42,0,486,UPDATE
43,0,487,UPDATE
44,0,487,UPDATE
45,0,486,UPDATE
46,0,482,UPDATE
47,0,482,UPDATE
48,0,481,UPDATE
49,0,480,UPDATE
50,0,479,UPDATE
51,0,479,UPDATE
52,0,479,UPDATE
53,0,479,UPDATE
54,0,478,UPDATE
55,0,475,UPDATE
56,0,471,UPDATE
57,0,469,UPDATE
58,0,468,UPDATE
59,0,468,UPDATE
60,0,465,UPDATE
61,0,460,UPDATE
62,0,443,UPDATE
63,0,432,UPDATE
64,0,426,UPDATE
65,0,423,UPDATE
66,0,421,UPDATE
67,0,420,UPDATE
68,0,419,UPDATE
69,0,416,UPDATE
70,0,412,UPDATE
71,0,408,UPDATE
72,0,393,UPDATE
73,0,385,UPDATE
74,0,382,UPDATE
75,0,377,UPDATE
76,0,370,UPDATE
77,0,376,UPDATE
78,0,365,UPDATE
79,0,365,UPDATE
80,0,361,UPDATE
81,0,356,UPDATE
82,0,353,UPDATE
83,0,352,UPDATE
84,0,350,UPDATE
85,0,349,UPDATE
86,0,340,UPDATE
86,1,488,NEW
87,0,333,UPDATE
87,1,491,UPDATE
88,0,330,UPDATE
88,1,487,UPDATE
89,0,330,UPDATE
89,1,490,UPDATE
90,0,329,UPDATE
90,1,489,UPDATE
91,0,328,UPDATE
91,1,488,UPDATE
92,0,328,UPDATE
92,1,486,UPDATE
93,0,324,UPDATE
93,1,485,UPDATE
94,0,317,UPDATE
94,1,485,UPDATE
95,0,312,UPDATE
95,1,485,UPDATE
96,0,307,UPDATE
96,1,485,UPDATE
97,0,302,UPDATE
97,1,487,UPDATE
98,0,297,UPDATE
98,1,488,UPDATE
99,0,292,UPDATE
99,1,488,UPDATE
100,0,287,UPDATE
100,1,488,UPDATE
101,0,281,UPDATE
101,1,488,UPDATE
102,0,275,UPDATE
102,1,490,UPDATE
103,0,269,UPDATE
103,1,489,UPDATE
104,0,263,UPDATE
104,1,489,UPDATE
105,0,255,UPDATE
105,1,486,UPDATE
106,0,248,UPDATE
106,1,486,UPDATE
107,0,238,UPDATE
107,1,486,UPDATE
108,0,227,UPDATE
108,1,484,UPDATE
109,0,225,UPDATE
109,1,483,UPDATE
110,1,480,UPDATE
111,1,481,UPDATE
112,1,479,UPDATE
113,1,475,UPDATE
114,1,459,UPDATE
115,1,449,UPDATE
116,1,441,UPDATE
117,1,436,UPDATE
118,1,431,UPDATE
119,1,429,UPDATE
119,2,282,NEW
120,1,425,UPDATE
120,2,282,UPDATE
121,1,423,UPDATE
121,2,281,UPDATE
122,1,420,UPDATE
122,2,283,UPDATE
123,1,415,UPDATE
123,2,283,UPDATE
124,1,410,UPDATE
124,2,283,UPDATE
125,1,403,UPDATE
125,2,282,UPDATE
126,1,394,UPDATE
126,2,280,UPDATE
127,1,389,UPDATE
127,2,276,UPDATE
128,1,387,UPDATE
128,2,267,UPDATE
129,1,385,UPDATE
129,2,271,UPDATE
130,1,383,UPDATE
130,2,275,UPDATE
131,1,381,UPDATE
131,2,279,UPDATE
132,1,373,UPDATE
132,2,283,UPDATE
133,1,366,UPDATE
133,2,288,UPDATE
134,1,362,UPDATE
134,2,292,UPDATE
135,1,358,UPDATE
135,2,296,UPDATE
136,1,355,UPDATE
136,2,300,UPDATE
137,1,354,UPDATE
137,2,304,UPDATE
138,1,352,UPDATE
139,1,350,UPDATE
140,1,349,UPDATE
141,1,348,UPDATE
142,1,344,UPDATE
143,1,339,UPDATE
144,1,333,UPDATE
145,1,329,UPDATE
146,1,325,UPDATE
147,1,324,UPDATE
148,1,323,UPDATE
149,1,321,UPDATE
150,1,314,UPDATE
151,1,308,UPDATE
152,1,305,UPDATE
153,1,303,UPDATE
154,1,302,UPDATE
155,1,301,UPDATE
156,1,299,UPDATE
157,1,298,UPDATE
158,1,296,UPDATE
158,3,493,NEW
159,1,297,UPDATE
159,3,491,UPDATE
160,1,293,UPDATE
160,3,490,UPDATE
161,1,290,UPDATE
161,3,486,UPDATE
162,1,287,UPDATE
162,3,483,UPDATE
163,1,284,UPDATE
163,3,481,UPDATE
164,1,283,UPDATE
164,3,480,UPDATE
165,1,281,UPDATE
165,3,478,UPDATE
166,1,280,UPDATE
166,3,478,UPDATE
167,1,277,UPDATE
167,3,475,UPDATE
168,1,276,UPDATE
168,3,475,UPDATE
169,1,273,UPDATE
169,3,474,UPDATE
170,1,272,UPDATE
170,3,472,UPDATE
171,1,271,UPDATE
171,3,472,UPDATE
172,1,270,UPDATE
172,3,471,UPDATE
172,4,247,NEW
173,1,269,UPDATE
173,3,471,UPDATE
173,4,246,UPDATE
174,1,267,UPDATE
174,3,471,UPDATE
174,4,247,UPDATE
175,1,263,UPDATE
175,3,471,UPDATE
175,4,248,UPDATE
176,1,259,UPDATE
176,3,472,UPDATE
176,4,250,UPDATE
177,1,257,UPDATE
177,3,472,UPDATE
177,4,250,UPDATE
178,1,251,UPDATE
178,3,473,UPDATE
178,4,250,UPDATE
179,1,233,UPDATE
179,3,474,UPDATE
179,4,250,UPDATE
180,1,223,UPDATE
180,3,474,UPDATE
180,4,249,UPDATE
181,1,236,UPDATE
181,3,474,UPDATE
181,4,250,UPDATE
182,1,243,UPDATE
182,3,475,UPDATE
182,4,251,UPDATE
183,1,246,UPDATE
183,3,469,UPDATE
183,4,250,UPDATE
