frame_number,track_id,cy,event
43,0,329,NEW
44,0,328,UPDATE
45,0,326,UPDATE
46,0,324,UPDATE
47,0,323,UPDATE
48,0,316,UPDATE
49,0,302,UPDATE
50,0,295,UPDATE
51,0,283,UPDATE
52,0,277,UPDATE
53,0,274,UPDATE
54,0,272,UPDATE
55,0,271,UPDATE
56,0,271,UPDATE
57,0,260,UPDATE
58,0,250,UPDATE
59,0,243,UPDATE
60,0,238,UPDATE
61,0,235,UPDATE
62,0,233,UPDATE
63,0,232,UPDATE
64,0,230,UPDATE
65,0,229,UPDATE
66,0,218,UPDATE
67,0,215,UPDATE
68,0,213,UPDATE
69,0,210,UPDATE
70,0,209,UPDATE
71,0,208,UPDATE
72,0,206,UPDATE
73,0,205,UPDATE
73,1,384,NEW
74,0,204,UPDATE
74,1,385,UPDATE
75,0,203,UPDATE
75,1,382,UPDATE
76,0,191,UPDATE
76,1,377,UPDATE
77,0,186,UPDATE
77,1,368,UPDATE
78,0,180,UPDATE
78,1,359,UPDATE
79,0,174,UPDATE
79,1,355,UPDATE
80,0,168,UPDATE
80,1,353,UPDATE
81,0,162,UPDATE
81,1,347,UPDATE
82,0,155,UPDATE
82,1,344,UPDATE
83,0,149,UPDATE
83,1,344,UPDATE
84,0,141,UPDATE
84,1,343,UPDATE
85,0,133,UPDATE
85,1,340,UPDATE
86,0,125,UPDATE
86,1,339,UPDATE
87,0,115,UPDATE
87,1,325,UPDATE
88,0,104,UPDATE
88,1,318,UPDATE
89,0,88,UPDATE
89,1,316,UPDATE
90,0,86,UPDATE
90,1,311,UPDATE
91,0,84,UPDATE
91,1,305,UPDATE
92,1,301,UPDATE
93,1,285,UPDATE
94,1,276,UPDATE
95,1,271,UPDATE
96,1,268,UPDATE
97,1,265,UPDATE
98,1,260,UPDATE
99,1,254,UPDATE
100,1,247,UPDATE
101,1,240,UPDATE
102,1,236,UPDATE
103,1,234,UPDATE
104,1,233,UPDATE
105,1,225,UPDATE
106,1,221,UPDATE
107,1,215,UPDATE
108,1,209,UPDATE
109,1,207,UPDATE
110,1,205,UPDATE
111,1,205,UPDATE
112,1,205,UPDATE
113,1,200,UPDATE
114,1,198,UPDATE
115,1,194,UPDATE
116,1,191,UPDATE
117,1,190,UPDATE
118,1,189,UPDATE
119,1,188,UPDATE
120,1,187,UPDATE
121,1,188,UPDATE
122,1,183,UPDATE
123,1,178,UPDATE
124,1,172,UPDATE
125,1,169,UPDATE
125,2,439,NEW
126,1,165,UPDATE
126,2,425,UPDATE
127,1,158,UPDATE
127,2,415,UPDATE
128,1,150,UPDATE
128,2,416,UPDATE
129,1,141,UPDATE
129,2,416,UPDATE
130,1,131,UPDATE
130,2,431,UPDATE
131,1,119,UPDATE
131,2,416,UPDATE
132,1,103,UPDATE
132,2,407,UPDATE
133,1,102,UPDATE
133,2,403,UPDATE
134,1,100,UPDATE
134,2,403,UPDATE
135,1,98,UPDATE
135,2,392,UPDATE
136,1,97,UPDATE
136,2,385,UPDATE
137,1,95,UPDATE
137,2,377,UPDATE
138,1,93,UPDATE
138,2,373,UPDATE
139,1,92,UPDATE
139,2,368,UPDATE
140,1,90,UPDATE
140,2,358,UPDATE
141,1,88,UPDATE
141,2,353,UPDATE
142,2,349,UPDATE
143,2,347,UPDATE
144,2,347,UPDATE
145,2,341,UPDATE
146,2,331,UPDATE
147,2,326,UPDATE
148,2,316,UPDATE
149,2,310,UPDATE
150,2,307,UPDATE
151,2,305,UPDATE
152,2,303,UPDATE
153,2,303,UPDATE
154,2,296,UPDATE
155,2,287,UPDATE
156,2,282,UPDATE
157,2,266,UPDATE
158,2,257,UPDATE
159,2,253,UPDATE
160,2,251,UPDATE
161,2,249,UPDATE
162,2,248,UPDATE
163,2,246,UPDATE
164,2,244,UPDATE
165,2,236,UPDATE
166,2,233,UPDATE
167,2,220,UPDATE
168,2,214,UPDATE
169,2,210,UPDATE
170,2,207,UPDATE
171,2,205,UPDATE
172,2,204,UPDATE
173,2,202,UPDATE
174,2,201,UPDATE
175,2,192,UPDATE
176,2,186,UPDATE
177,2,182,UPDATE
178,2,180,UPDATE
179,2,179,UPDATE
180,2,178,UPDATE
181,2,177,UPDATE
182,2,177,UPDATE
183,2,175,UPDATE
184,2,175,UPDATE
185,2,168,UPDATE
186,2,166,UPDATE
187,2,166,UPDATE
188,2,165,UPDATE
189,2,165,UPDATE
190,2,165,UPDATE
191,2,165,UPDATE
192,2,165,UPDATE
193,2,164,UPDATE
194,2,157,UPDATE
195,2,154,UPDATE
196,2,151,UPDATE
197,2,147,UPDATE
198,2,145,UPDATE
199,2,144,UPDATE
200,2,143,UPDATE
201,2,143,UPDATE
202,2,138,UPDATE
203,2,135,UPDATE
204,2,134,UPDATE
205,2,134,UPDATE
206,2,134,UPDATE
207,2,132,UPDATE
208,2,132,UPDATE
209,2,130,UPDATE
210,2,125,UPDATE
211,2,122,UPDATE
212,2,120,UPDATE
213,2,118,UPDATE
214,2,118,UPDATE
215,2,117,UPDATE
216,2,116,UPDATE
217,2,116,UPDATE
218,2,115,UPDATE
219,2,112,UPDATE
220,2,111,UPDATE
221,2,109,UPDATE
222,2,97,UPDATE
223,2,80,UPDATE
224,2,79,UPDATE
225,2,78,UPDATE
226,2,78,UPDATE
227,2,77,UPDATE
228,2,76,UPDATE
229,2,75,UPDATE
230,2,74,UPDATE
231,2,74,UPDATE
232,2,73,UPDATE
233,2,72,UPDATE
234,2,71,UPDATE
235,2,70,UPDATE
236,2,70,UPDATE
239,5,122,NEW
240,5,120,UPDATE
241,5,119,UPDATE
242,5,119,UPDATE
243,5,118,UPDATE
244,5,118,UPDATE
245,5,117,UPDATE
246,5,117,UPDATE
247,5,116,UPDATE
248,5,116,UPDATE
249,5,115,UPDATE
250,5,115,UPDATE
251,5,114,UPDATE
252,5,114,UPDATE
253,5,113,UPDATE
254,5,113,UPDATE
255,5,112,UPDATE
311,9,138,NEW
312,9,139,UPDATE
313,9,139,UPDATE
314,9,141,UPDATE
315,9,144,UPDATE
316,9,146,UPDATE
317,9,147,UPDATE
318,9,148,UPDATE
319,9,149,UPDATE
320,9,151,UPDATE
321,9,152,UPDATE
322,9,148,UPDATE
323,9,150,UPDATE
323,10,158,NEW
324,9,152,UPDATE
324,10,158,UPDATE
325,9,152,UPDATE
325,10,157,UPDATE
326,9,154,UPDATE
326,10,157,UPDATE
327,9,155,UPDATE
327,10,158,UPDATE
328,9,154,UPDATE
328,10,159,UPDATE
329,9,156,UPDATE
329,10,158,UPDATE
330,9,157,UPDATE
330,10,161,UPDATE
331,9,157,UPDATE
331,10,165,UPDATE
332,9,161,UPDATE
332,10,171,UPDATE
333,9,162,UPDATE
333,10,173,UPDATE
334,9,163,UPDATE
334,10,173,UPDATE
335,9,164,UPDATE
335,10,174,UPDATE
336,9,165,UPDATE
336,10,175,UPDATE
337,9,173,UPDATE
337,10,176,UPDATE
338,9,166,UPDATE
338,10,171,UPDATE
339,9,165,UPDATE
339,10,170,UPDATE
340,9,170,UPDATE
340,10,176,UPDATE
341,9,172,UPDATE
341,10,182,UPDATE
342,9,173,UPDATE
342,10,186,UPDATE
343,9,176,UPDATE
343,10,190,UPDATE
344,9,177,UPDATE
344,10,190,UPDATE
345,9,177,UPDATE
345,10,193,UPDATE
346,9,186,UPDATE
346,10,195,UPDATE
347,9,188,UPDATE
347,10,193,UPDATE
348,9,187,UPDATE
348,10,191,UPDATE
349,9,181,UPDATE
349,10,208,UPDATE
350,9,183,UPDATE
350,10,216,UPDATE
351,9,183,UPDATE
351,10,221,UPDATE
352,9,185,UPDATE
352,10,224,UPDATE
353,9,188,UPDATE
353,10,224,UPDATE
354,9,190,UPDATE
354,10,225,UPDATE
355,9,194,UPDATE
355,10,220,UPDATE
356,9,196,UPDATE
356,10,214,UPDATE
357,9,198,UPDATE
