frame_number,track_id,cx,cy,event
157,1,317,461,UPDATE
157,CROSSING,317,461,IN #3 by ID 1 [ID ALREADY CROSSED BEFORE]
158,0,204,469,UPDATE
158,1,320,463,UPDATE
159,0,205,471,UPDATE
159,1,322,464,UPDATE
160,0,206,472,UPDATE
160,1,327,465,UPDATE
161,0,206,474,UPDATE
161,1,329,466,UPDATE
162,0,206,475,UPDATE
162,1,332,463,UPDATE
163,0,205,475,UPDATE
163,1,334,468,UPDATE
164,0,205,476,UPDATE
164,1,335,459,UPDATE
165,0,202,476,UPDATE
165,1,336,457,UPDATE
166,0,199,476,UPDATE
166,1,337,462,UPDATE
166,CROSSING,337,462,IN #4 by ID 1 [ID ALREADY CROSSED BEFORE]
167,0,196,476,UPDATE
167,1,337,466,UPDATE
168,0,193,475,UPDATE
168,1,338,468,UPDATE
169,0,191,475,UPDATE
169,1,338,470,UPDATE
170,0,189,475,UPDATE
170,1,337,471,UPDATE
171,0,185,475,UPDATE
171,1,338,473,UPDATE
172,0,182,475,UPDATE
172,1,338,474,UPDATE
173,0,180,476,UPDATE
173,1,339,474,UPDATE
174,0,179,476,UPDATE
174,1,345,475,UPDATE
175,0,178,477,UPDATE
175,1,348,475,UPDATE
176,0,178,477,UPDATE
176,1,352,475,UPDATE
177,0,180,476,UPDATE
177,1,362,474,UPDATE
178,0,181,475,UPDATE
178,1,367,474,UPDATE
179,0,181,474,UPDATE
179,1,377,474,UPDATE
180,0,182,474,UPDATE
180,1,381,473,UPDATE
181,0,182,474,UPDATE
181,1,384,474,UPDATE
182,0,181,474,UPDATE
182,1,388,475,UPDATE
183,0,181,474,UPDATE
183,1,390,475,UPDATE
184,0,175,474,UPDATE
184,1,391,473,UPDATE
185,0,170,474,UPDATE
185,1,391,473,UPDATE
186,0,167,474,UPDATE
186,1,391,473,UPDATE
187,0,159,473,UPDATE
187,1,392,473,UPDATE
188,0,153,473,UPDATE
188,1,393,473,UPDATE
189,0,150,474,UPDATE
189,1,394,473,UPDATE
190,0,141,473,UPDATE
190,1,397,473,UPDATE
191,0,134,474,UPDATE
191,1,401,474,UPDATE
192,0,130,473,UPDATE
192,1,412,475,UPDATE
193,0,130,473,UPDATE
193,1,419,475,UPDATE
194,0,131,473,UPDATE
194,1,425,475,UPDATE
195,0,138,471,UPDATE
195,1,444,473,UPDATE
196,0,141,470,UPDATE
196,1,454,472,UPDATE
197,0,144,471,UPDATE
197,1,463,472,UPDATE
198,0,147,469,UPDATE
198,1,482,472,UPDATE
199,0,149,470,UPDATE
199,1,493,473,UPDATE
200,0,149,471,UPDATE
200,1,500,474,UPDATE
201,0,143,471,UPDATE
201,1,510,474,UPDATE
202,0,139,472,UPDATE
202,1,516,473,UPDATE
203,0,132,473,UPDATE
203,1,520,471,UPDATE
