frame_number,track_id,cx,cy,event
4,0,506,349,NEW
5,0,512,350,UPDATE
6,0,513,351,UPDATE
7,0,514,350,UPDATE
8,0,516,350,UPDATE
9,0,518,350,UPDATE
9,1,43,189,NEW
10,0,522,350,UPDATE
10,1,43,188,UPDATE
11,0,525,350,UPDATE
11,1,43,186,UPDATE
12,0,534,354,UPDATE
12,1,43,186,UPDATE
13,0,538,354,UPDATE
13,1,43,185,UPDATE
14,0,542,355,UPDATE
14,1,43,185,UPDATE
15,0,547,356,UPDATE
15,1,43,187,UPDATE
16,0,551,356,UPDATE
16,1,43,187,UPDATE
17,0,556,357,UPDATE
17,1,43,187,UPDATE
18,0,560,358,UPDATE
18,1,43,187,UPDATE
19,0,564,358,UPDATE
19,1,43,187,UPDATE
20,0,569,359,UPDATE
20,1,42,187,UPDATE
21,0,573,359,UPDATE
21,1,42,181,UPDATE
22,0,577,360,UPDATE
22,1,42,180,UPDATE
23,0,582,361,UPDATE
23,1,43,183,UPDATE
24,0,535,351,UPDATE
24,1,43,183,UPDATE
25,0,536,351,UPDATE
25,1,43,193,UPDATE
26,0,533,350,UPDATE
26,1,43,194,UPDATE
27,0,531,348,UPDATE
27,1,43,187,UPDATE
28,0,529,347,UPDATE
28,1,43,186,UPDATE
29,0,529,347,UPDATE
29,1,44,185,UPDATE
30,0,524,347,UPDATE
30,1,44,185,UPDATE
31,0,521,347,UPDATE
31,1,44,185,UPDATE
32,0,520,347,UPDATE
32,1,44,185,UPDATE
33,0,519,346,UPDATE
33,1,44,185,UPDATE
34,0,519,346,UPDATE
34,1,44,189,UPDATE
35,0,519,346,UPDATE
35,1,44,189,UPDATE
36,0,520,345,UPDATE
36,1,44,189,UPDATE
37,0,520,345,UPDATE
37,1,44,182,UPDATE
38,0,519,345,UPDATE
38,1,44,182,UPDATE
39,0,519,344,UPDATE
39,1,43,184,UPDATE
40,0,517,344,UPDATE
40,1,43,184,UPDATE
41,0,515,344,UPDATE
41,1,43,184,UPDATE
42,0,512,343,UPDATE
42,1,43,175,UPDATE
