frame_number,track_id,cx,cy,event
100,0,165,239,NEW
101,0,173,239,UPDATE
102,0,187,238,UPDATE
103,0,216,238,UPDATE
104,0,236,238,UPDATE
105,0,248,238,UPDATE
106,0,248,238,UPDATE
107,0,243,238,UPDATE
108,0,231,238,UPDATE
109,0,234,238,UPDATE
110,0,235,238,UPDATE
111,0,235,238,UPDATE
112,0,252,242,UPDATE
112,COUNT,,,IN increment to 1
113,0,262,244,UPDATE
114,0,268,246,UPDATE
115,0,278,252,UPDATE
116,0,283,257,UPDATE
117,0,285,260,UPDATE
118,0,285,263,UPDATE
119,0,288,270,UPDATE
120,0,291,272,UPDATE
121,0,293,287,UPDATE
122,0,292,294,UPDATE
123,0,289,293,UPDATE
124,0,283,301,UPDATE
125,0,280,299,UPDATE
126,0,279,301,UPDATE
127,0,279,299,UPDATE
128,0,278,298,UPDATE
129,0,278,298,UPDATE
130,0,276,299,UPDATE
131,0,276,299,UPDATE
132,0,276,300,UPDATE
133,0,283,302,UPDATE
134,0,286,303,UPDATE
135,0,287,305,UPDATE
136,0,288,309,UPDATE
137,0,290,311,UPDATE
138,0,290,313,UPDATE
139,0,293,314,UPDATE
140,0,294,314,UPDATE
141,0,297,314,UPDATE
142,0,298,314,UPDATE
143,0,298,314,UPDATE
144,0,296,316,UPDATE
145,0,293,317,UPDATE
146,0,292,317,UPDATE
147,0,292,318,UPDATE
148,0,289,321,UPDATE
149,0,288,322,UPDATE
150,0,288,319,UPDATE
151,0,289,317,UPDATE
152,0,290,317,UPDATE
153,0,291,316,UPDATE
154,0,294,317,UPDATE
155,0,294,318,UPDATE
156,0,293,321,UPDATE
157,0,293,321,UPDATE
158,0,294,321,UPDATE
159,0,295,322,UPDATE
160,0,297,321,UPDATE
161,0,297,319,UPDATE
162,0,297,318,UPDATE
163,0,297,318,UPDATE
164,0,296,318,UPDATE
165,0,296,318,UPDATE
166,0,296,320,UPDATE
167,0,296,321,UPDATE
168,0,295,323,UPDATE
169,0,295,323,UPDATE
170,0,294,324,UPDATE
171,0,295,325,UPDATE
172,0,295,321,UPDATE
173,0,294,321,UPDATE
174,0,295,321,UPDATE
175,0,296,321,UPDATE
176,0,296,321,UPDATE
177,0,298,323,UPDATE
178,0,300,324,UPDATE
179,0,302,324,UPDATE
180,0,306,323,UPDATE
181,0,308,323,UPDATE
182,0,310,322,UPDATE
183,0,311,321,UPDATE
184,0,312,322,UPDATE
185,0,313,323,UPDATE
186,0,313,325,UPDATE
187,0,313,326,UPDATE
188,0,313,327,UPDATE
189,0,311,326,UPDATE
190,0,311,326,UPDATE
191,0,311,326,UPDATE
192,0,312,325,UPDATE
193,0,313,325,UPDATE
194,0,313,325,UPDATE
195,0,314,325,UPDATE
196,0,314,324,UPDATE
197,0,313,325,UPDATE
198,0,314,326,UPDATE
199,0,315,327,UPDATE
200,0,316,326,UPDATE
201,0,318,325,UPDATE
202,0,317,325,UPDATE
203,0,318,325,UPDATE
204,0,319,325,UPDATE
205,0,320,326,UPDATE
206,0,320,326,UPDATE
207,0,319,327,UPDATE
208,0,319,328,UPDATE
209,0,318,328,UPDATE
210,0,317,327,UPDATE
211,0,316,328,UPDATE
212,0,317,327,UPDATE
213,0,316,327,UPDATE
214,0,316,327,UPDATE
215,0,316,328,UPDATE
216,0,317,328,UPDATE
217,0,317,328,UPDATE
218,0,317,328,UPDATE
219,0,318,329,UPDATE
220,0,319,329,UPDATE
221,0,318,329,UPDATE
222,0,318,329,UPDATE
223,0,318,329,UPDATE
224,0,317,329,UPDATE
225,0,318,329,UPDATE
226,0,316,329,UPDATE
227,0,316,330,UPDATE
228,0,316,330,UPDATE
229,0,315,330,UPDATE
230,0,313,331,UPDATE
231,0,312,331,UPDATE
232,0,311,331,UPDATE
233,0,311,331,UPDATE
234,0,311,331,UPDATE
235,0,310,331,UPDATE
236,0,310,331,UPDATE
237,0,309,331,UPDATE
238,0,310,331,UPDATE
239,0,311,331,UPDATE
240,0,310,331,UPDATE
241,0,311,332,UPDATE
242,0,313,329,UPDATE
243,0,314,330,UPDATE
244,0,315,330,UPDATE
245,0,316,331,UPDATE
246,0,317,331,UPDATE
247,0,317,331,UPDATE
248,0,318,331,UPDATE
249,0,320,331,UPDATE
250,0,320,331,UPDATE
251,0,321,331,UPDATE
252,0,322,330,UPDATE
253,0,322,330,UPDATE
254,0,321,331,UPDATE
255,0,321,331,UPDATE
256,0,320,330,UPDATE
257,0,318,330,UPDATE
258,0,317,330,UPDATE
259,0,316,329,UPDATE
260,0,316,328,UPDATE
261,0,316,329,UPDATE
262,0,315,328,UPDATE
263,0,315,327,UPDATE
264,0,314,327,UPDATE
265,0,314,328,UPDATE
266,0,315,328,UPDATE
267,0,315,329,UPDATE
268,0,315,328,UPDATE
269,0,316,328,UPDATE
270,0,316,328,UPDATE
271,0,316,327,UPDATE
272,0,316,326,UPDATE
273,0,316,325,UPDATE
274,0,315,327,UPDATE
275,0,315,326,UPDATE
276,0,315,326,UPDATE
277,0,315,326,UPDATE
278,0,314,326,UPDATE
279,0,313,326,UPDATE
280,0,310,325,UPDATE
281,0,308,325,UPDATE
282,0,308,324,UPDATE
283,0,308,324,UPDATE
284,0,309,323,UPDATE
285,0,310,325,UPDATE
286,0,311,325,UPDATE
287,0,312,326,UPDATE
288,0,312,326,UPDATE
289,0,315,325,UPDATE
290,0,316,324,UPDATE
291,0,317,323,UPDATE
292,0,317,323,UPDATE
293,0,318,322,UPDATE
294,0,318,323,UPDATE
295,0,316,324,UPDATE
296,0,316,325,UPDATE
297,0,314,325,UPDATE
298,0,313,324,UPDATE
299,0,312,323,UPDATE
300,0,311,322,UPDATE
301,0,307,321,UPDATE
302,0,305,320,UPDATE
303,0,304,321,UPDATE
304,0,303,321,UPDATE
305,0,303,321,UPDATE
306,0,305,323,UPDATE
307,0,306,323,UPDATE
308,0,305,323,UPDATE
309,0,307,321,UPDATE
310,0,307,319,UPDATE
311,0,307,319,UPDATE
312,0,306,318,UPDATE
313,0,304,317,UPDATE
314,0,302,317,UPDATE
315,0,300,319,UPDATE
316,0,299,320,UPDATE
317,0,298,321,UPDATE
318,0,293,320,UPDATE
319,0,290,319,UPDATE
320,0,289,319,UPDATE
321,0,286,317,UPDATE
322,0,285,316,UPDATE
323,0,285,315,UPDATE
324,0,287,318,UPDATE
325,0,287,320,UPDATE
326,0,288,320,UPDATE
327,0,288,320,UPDATE
328,0,288,320,UPDATE
329,0,289,320,UPDATE
330,0,289,318,UPDATE
331,0,289,317,UPDATE
332,0,288,315,UPDATE
333,0,286,313,UPDATE
334,0,284,312,UPDATE
335,0,280,312,UPDATE
336,0,278,310,UPDATE
337,0,277,309,UPDATE
338,0,273,306,UPDATE
339,0,272,304,UPDATE
340,0,268,303,UPDATE
341,0,265,302,UPDATE
342,0,265,299,UPDATE
343,0,262,297,UPDATE
344,0,260,297,UPDATE
345,0,259,294,UPDATE
346,0,258,293,UPDATE
347,0,261,291,UPDATE
348,0,263,291,UPDATE
349,0,264,288,UPDATE
350,0,264,288,UPDATE
351,0,268,283,UPDATE
352,0,271,279,UPDATE
353,0,273,275,UPDATE
354,0,274,274,UPDATE
355,0,274,272,UPDATE
356,0,272,267,UPDATE
357,0,270,265,UPDATE
358,0,268,263,UPDATE
359,0,263,256,UPDATE
360,0,260,252,UPDATE
361,0,258,250,UPDATE
362,0,248,243,UPDATE
363,0,243,240,UPDATE
364,0,240,239,UPDATE
365,0,239,238,UPDATE
366,0,239,238,UPDATE
367,0,239,238,UPDATE
368,0,238,238,UPDATE
369,0,238,238,UPDATE
370,0,239,238,UPDATE
371,0,241,242,UPDATE
371,COUNT,,,IN increment to 2
372,0,251,240,UPDATE
373,0,246,239,UPDATE
374,0,228,238,UPDATE
375,0,221,238,UPDATE
376,0,212,238,UPDATE
377,0,186,239,UPDATE
378,0,174,238,UPDATE
379,0,167,238,UPDATE
380,0,161,237,UPDATE
381,0,155,237,UPDATE
382,0,149,236,UPDATE
383,0,140,238,UPDATE
384,0,134,238,UPDATE
385,0,126,239,UPDATE
386,0,117,216,UPDATE
387,0,110,213,UPDATE
388,0,104,211,UPDATE
389,0,97,208,UPDATE
390,0,91,206,UPDATE
391,0,84,203,UPDATE
392,0,78,201,UPDATE
393,0,71,199,UPDATE
394,0,65,196,UPDATE
395,0,58,194,UPDATE
396,0,52,191,UPDATE
397,0,45,189,UPDATE
398,0,39,187,UPDATE
399,0,32,184,UPDATE
400,0,26,182,UPDATE
401,0,19,179,UPDATE
804,1,125,240,NEW
805,1,147,240,UPDATE
806,1,174,239,UPDATE
807,1,189,239,UPDATE
808,1,246,239,UPDATE
809,1,269,239,UPDATE
810,1,283,238,UPDATE
811,1,284,238,UPDATE
812,1,283,238,UPDATE
813,1,279,239,UPDATE
814,1,280,244,UPDATE
814,COUNT,,,IN increment to 3
815,1,283,248,UPDATE
816,1,297,257,UPDATE
817,1,308,276,UPDATE
818,1,316,286,UPDATE
819,1,319,291,UPDATE
820,1,320,293,UPDATE
821,1,319,293,UPDATE
822,1,313,293,UPDATE
823,1,308,293,UPDATE
