frame_number,track_id,cy,event
5,0,189,NEW
6,0,178,UPDATE
7,0,175,UPDATE
8,0,155,UPDATE
9,0,129,UPDATE
10,0,124,UPDATE
11,0,120,UPDATE
12,0,115,UPDATE
13,0,110,UPDATE
14,0,106,UPDATE
15,0,101,UPDATE
16,0,97,UPDATE
17,0,92,UPDATE
18,0,87,UPDATE
19,0,83,UPDATE
20,0,78,UPDATE
21,0,74,UPDATE
22,0,69,UPDATE
24,2,301,NEW
25,2,297,UPDATE
26,2,287,UPDATE
27,2,283,UPDATE
28,2,268,UPDATE
29,2,263,UPDATE
30,2,257,UPDATE
31,2,254,UPDATE
32,2,250,UPDATE
33,2,249,UPDATE
34,2,248,UPDATE
35,2,237,UPDATE
36,2,224,UPDATE
37,2,218,UPDATE
38,2,212,UPDATE
39,2,206,UPDATE
40,2,200,UPDATE
41,2,193,UPDATE
42,2,187,UPDATE
43,2,180,UPDATE
44,2,174,UPDATE
45,2,167,UPDATE
45,3,427,NEW
46,2,160,UPDATE
46,3,425,UPDATE
47,2,153,UPDATE
47,3,424,UPDATE
48,2,145,UPDATE
48,3,425,UPDATE
49,2,137,UPDATE
49,3,418,UPDATE
50,2,129,UPDATE
50,3,401,UPDATE
51,2,121,UPDATE
51,3,398,UPDATE
52,3,398,UPDATE
53,3,386,UPDATE
54,3,369,UPDATE
55,3,361,UPDATE
56,3,359,UPDATE
57,3,355,UPDATE
58,3,351,UPDATE
59,3,350,UPDATE
60,3,323,UPDATE
61,3,306,UPDATE
62,3,296,UPDATE
63,3,290,UPDATE
64,3,287,UPDATE
65,3,284,UPDATE
66,3,283,UPDATE
67,3,268,UPDATE
68,3,250,UPDATE
69,3,241,UPDATE
70,3,236,UPDATE
71,3,232,UPDATE
72,3,229,UPDATE
73,3,226,UPDATE
74,3,224,UPDATE
75,3,210,UPDATE
76,3,201,UPDATE
77,3,196,UPDATE
78,3,194,UPDATE
79,3,192,UPDATE
80,3,191,UPDATE
81,3,191,UPDATE
82,3,184,UPDATE
83,3,174,UPDATE
84,3,169,UPDATE
85,3,166,UPDATE
86,3,165,UPDATE
87,3,164,UPDATE
88,3,164,UPDATE
89,3,163,UPDATE
90,3,155,UPDATE
91,3,150,UPDATE
92,3,148,UPDATE
93,3,146,UPDATE
94,3,145,UPDATE
95,3,145,UPDATE
96,3,144,UPDATE
97,3,144,UPDATE
98,3,141,UPDATE
99,3,138,UPDATE
100,3,137,UPDATE
101,3,134,UPDATE
102,3,125,UPDATE
103,3,113,UPDATE
104,3,98,UPDATE
104,4,152,NEW
105,3,97,UPDATE
105,4,152,UPDATE
105,5,106,NEW
106,3,95,UPDATE
106,4,148,UPDATE
106,5,105,UPDATE
107,3,94,UPDATE
107,4,143,UPDATE
107,5,106,UPDATE
108,3,92,UPDATE
108,4,140,UPDATE
108,5,105,UPDATE
109,3,91,UPDATE
109,4,138,UPDATE
109,5,104,UPDATE
110,3,90,UPDATE
110,4,139,UPDATE
110,5,104,UPDATE
111,3,88,UPDATE
111,4,135,UPDATE
111,5,106,UPDATE
112,3,87,UPDATE
112,4,134,UPDATE
112,5,107,UPDATE
113,3,85,UPDATE
113,4,133,UPDATE
113,5,107,UPDATE
114,3,84,UPDATE
114,4,131,UPDATE
114,5,108,UPDATE
115,3,82,UPDATE
115,4,129,UPDATE
115,5,108,UPDATE
116,3,81,UPDATE
116,4,127,UPDATE
116,5,108,UPDATE
117,4,127,UPDATE
117,5,109,UPDATE
118,4,127,UPDATE
118,5,109,UPDATE
119,4,127,UPDATE
119,5,107,UPDATE
120,4,126,UPDATE
120,5,107,UPDATE
121,4,123,UPDATE
121,5,108,UPDATE
122,4,122,UPDATE
122,5,108,UPDATE
123,4,121,UPDATE
123,5,109,UPDATE
124,4,120,UPDATE
124,5,111,UPDATE
125,4,118,UPDATE
125,5,111,UPDATE
126,4,117,UPDATE
126,5,112,UPDATE
127,4,116,UPDATE
127,5,112,UPDATE
128,4,114,UPDATE
128,5,112,UPDATE
129,4,113,UPDATE
129,5,113,UPDATE
130,4,112,UPDATE
130,5,113,UPDATE
131,4,115,UPDATE
131,5,113,UPDATE
132,4,115,UPDATE
132,5,113,UPDATE
133,4,115,UPDATE
133,5,114,UPDATE
134,4,114,UPDATE
134,5,116,UPDATE
135,4,114,UPDATE
135,5,116,UPDATE
136,4,114,UPDATE
136,5,116,UPDATE
137,4,113,UPDATE
137,5,117,UPDATE
138,4,113,UPDATE
138,5,120,UPDATE
139,4,113,UPDATE
139,5,122,UPDATE
140,4,114,UPDATE
140,5,124,UPDATE
141,4,114,UPDATE
141,5,125,UPDATE
142,4,114,UPDATE
142,5,125,UPDATE
143,4,113,UPDATE
143,5,125,UPDATE
144,4,113,UPDATE
144,5,126,UPDATE
145,4,114,UPDATE
145,5,127,UPDATE
